_ID,X,Y
1,1215,533
1,1216,533
1,1216,534
1,1217,534
1,1218,534
1,1219,534
1,1220,534
1,1221,534
1,1221,535
1,1222,535
1,1223,535
1,1224,535
1,1224,534
1,1225,534
1,1225,535
1,1226,535
1,1227,535
1,1228,535
1,1229,535
1,1230,535
1,1231,535
1,1232,535
1,1232,536
1,1233,536
1,1233,535
1,1234,535
1,1235,535
1,1235,536
1,1236,535
1,1237,535
1,1238,535
1,1239,535
1,1239,534
1,1240,534
1,1241,534
1,1241,533
1,1242,534
1,1243,534
1,1243,533
1,1244,533
1,1244,532
1,1245,532
1,1246,532
1,1247,532
1,1247,531
1,1248,531
1,1249,531
1,1249,532
1,1250,532
1,1251,532
1,1252,532
1,1253,532
1,1253,531
1,1254,531
1,1255,531
1,1255,530
1,1256,531
1,1256,530
1,1257,530
1,1257,529
1,1256,529
1,1258,529
1,1259,529
1,1259,528
1,1260,528
1,1261,528
1,1261,527
1,1260,527
1,1260,526
1,1261,526
1,1262,526
1,1262,525
1,1263,525
1,1263,524
1,1263,523
1,1264,523
1,1263,522
1,1264,522
1,1265,522
1,1265,521
1,1266,521
1,1265,520
1,1264,520
1,1265,519
1,1266,519
1,1266,518
1,1266,517
1,1267,517
1,1267,516
1,1268,516
1,1268,515
1,1268,514
1,1269,514
1,1269,513
1,1268,513
1,1269,512
1,1270,513
1,1269,511
1,1269,510
1,1270,510
1,1271,510
1,1271,509
1,1272,509
1,1272,508
1,1273,508
1,1273,507
1,1273,506
1,1274,506
1,1273,505
1,1273,504
1,1274,504
1,1273,503
1,1274,503
1,1275,503
1,1275,502
1,1276,502
1,1276,501
1,1275,501
1,1275,500
1,1275,499
1,1275,498
1,1276,498
1,1277,498
1,1277,497
1,1277,496
1,1278,496
1,1279,496
1,1280,496
1,1280,495
1,1281,495
1,1282,495
1,1283,495
1,1284,496
1,1285,496
1,1286,496
1,1287,496
1,1288,496
1,1288,495
1,1287,495
1,1289,495
1,1290,495
1,1290,494
1,1291,494
1,1292,494
1,1293,494
1,1294,494
1,1295,494
1,1295,493
1,1296,493
1,1297,493
1,1297,492
1,1298,492
1,1298,491
1,1299,491
1,1300,491
1,1300,490
1,1301,490
1,1301,489
1,1302,489
1,1303,489
1,1304,489
1,1305,489
1,1306,489
1,1307,489
1,1307,488
1,1306,488
1,1306,487
1,1305,487
1,1305,486
1,1306,486
1,1306,485
1,1307,485
1,1308,485
1,1307,484
1,1308,484
1,1308,483
1,1308,482
1,1307,482
1,1307,481
1,1307,480
1,1308,480
1,1309,479
1,1309,478
1,1310,478
1,1310,477
1,1311,477
1,1312,477
1,1313,477
1,1314,477
1,1314,478
1,1315,478
1,1315,477
1,1316,477
1,1317,477
1,1318,477
1,1319,477
1,1320,477
1,1321,477
1,1322,477
1,1323,477
1,1323,478
1,1324,478
1,1324,477
1,1325,477
1,1326,477
1,1326,478
1,1326,479
1,1327,479
1,1327,480
1,1328,479
1,1328,480
1,1329,480
1,1330,480
1,1330,481
1,1331,481
1,1332,481
1,1333,481
1,1334,481
1,1335,481
1,1336,481
1,1336,482
1,1337,482
1,1338,482
1,1339,482
1,1339,483
1,1340,483
1,1341,483
1,1341,484
1,1342,484
1,1343,484
1,1344,484
1,1345,484
1,1346,484
1,1347,484
1,1348,484
1,1349,484
1,1350,484
1,1351,485
1,1351,484
1,1349,483
1,1348,483
1,1347,483
1,1347,482
1,1347,481
1,1346,481
1,1346,480
1,1346,479
1,1347,479
1,1347,478
1,1348,478
1,1348,477
1,1347,477
1,1347,476
1,1346,476
1,1346,475
1,1345,475
1,1345,474
1,1344,474
1,1343,474
1,1342,474
1,1342,473
1,1341,473
1,1341,472
1,1342,472
1,1342,471
1,1341,471
1,1341,470
1,1341,469
1,1340,469
1,1340,468
1,1340,467
1,1340,466
1,1339,466
1,1339,465
1,1338,465
1,1339,464
1,1339,463
1,1339,462
1,1338,462
1,1337,462
1,1337,461
1,1337,460
1,1337,459
1,1336,459
1,1335,459
1,1335,458
1,1335,457
1,1334,457
1,1334,456
1,1335,456
1,1333,456
1,1333,455
1,1332,455
1,1332,454
1,1331,454
1,1331,453
1,1331,452
1,1331,451
1,1330,451
1,1330,450
1,1329,450
1,1329,451
1,1328,451
1,1320,453
1,1319,453
1,1318,453
1,1318,452
1,1317,452
1,1316,452
1,1317,451
1,1316,451
1,1316,450
1,1315,450
1,1314,450
1,1313,450
1,1313,449
1,1312,449
1,1311,449
1,1310,449
1,1310,448
1,1311,448
1,1311,447
1,1311,445
1,1312,443
1,1312,442
1,1313,441
1,1313,440
1,1312,440
1,1312,439
1,1313,439
1,1312,438
1,1312,437
1,1312,436
1,1312,435
1,1313,435
1,1312,434
1,1311,434
1,1311,435
1,1310,435
1,1309,435
1,1309,434
1,1308,435
1,1307,436
1,1306,436
1,1305,436
1,1305,437
1,1304,437
1,1304,438
1,1304,439
1,1303,439
1,1304,440
1,1303,440
1,1302,440
1,1302,439
1,1301,439
1,1301,438
1,1300,439
1,1300,440
1,1299,440
1,1298,440
1,1298,439
1,1297,439
1,1296,439
1,1295,439
1,1294,438
1,1293,438
1,1292,438
1,1292,437
1,1292,436
1,1291,436
1,1291,435
1,1290,435
1,1289,436
1,1289,435
1,1288,436
1,1288,437
1,1287,437
1,1287,438
1,1288,438
1,1287,439
1,1286,439
1,1286,440
1,1285,441
1,1285,442
1,1284,443
1,1285,443
1,1284,445
1,1283,445
1,1283,444
1,1282,444
1,1282,443
1,1281,444
1,1281,443
1,1280,443
1,1281,442
1,1280,442
1,1281,441
1,1280,441
1,1279,441
1,1278,441
1,1277,441
1,1277,442
1,1276,442
1,1276,443
1,1275,444
1,1275,445
1,1276,445
1,1275,446
1,1274,446
1,1273,446
1,1272,446
1,1271,446
1,1270,446
1,1270,447
1,1270,448
1,1270,449
1,1271,449
1,1271,450
1,1270,450
1,1270,451
1,1269,451
1,1268,451
1,1268,452
1,1267,452
1,1266,452
1,1265,452
1,1264,452
1,1263,452
1,1263,451
1,1262,451
1,1261,451
1,1261,452
1,1260,452
1,1259,452
1,1258,452
1,1258,453
1,1257,453
1,1257,454
1,1257,455
1,1256,455
1,1255,455
1,1254,455
1,1254,454
1,1253,454
1,1252,454
1,1251,454
1,1250,454
1,1250,455
1,1249,455
1,1249,454
1,1248,454
1,1248,455
1,1247,454
1,1246,455
1,1246,454
1,1245,454
1,1245,455
1,1244,454
1,1244,455
1,1243,455
1,1243,456
1,1242,456
1,1241,456
1,1241,457
1,1240,457
1,1240,458
1,1241,458
1,1241,459
1,1240,459
1,1240,460
1,1240,461
1,1240,462
1,1239,462
1,1240,463
1,1239,463
1,1238,463
1,1236,462
1,1235,463
1,1235,462
1,1234,462
1,1233,462
1,1232,463
1,1232,462
1,1231,463
1,1230,464
1,1230,465
1,1230,466
1,1231,466
1,1232,466
1,1233,466
1,1233,467
1,1234,467
1,1236,467
1,1236,468
1,1236,469
1,1235,468
1,1235,469
1,1235,470
1,1234,470
1,1234,469
1,1233,470
1,1233,468
1,1233,469
1,1232,469
1,1232,468
1,1232,467
1,1231,467
1,1230,467
1,1230,468
1,1229,468
1,1229,469
1,1229,470
1,1228,469
1,1228,470
1,1228,471
1,1227,471
1,1226,471
1,1226,472
1,1225,472
1,1225,473
1,1224,473
1,1225,474
1,1225,475
1,1226,475
1,1226,476
1,1228,476
1,1228,477
1,1229,477
1,1232,478
1,1233,480
1,1235,480
1,1236,480
1,1237,482
1,1239,483
1,1241,484
1,1243,485
1,1243,484
1,1243,483
1,1244,483
1,1244,482
1,1245,482
1,1245,481
1,1244,481
1,1246,482
1,1245,483
1,1246,483
1,1245,484
1,1245,485
1,1245,486
1,1246,486
1,1246,487
1,1246,488
1,1247,488
1,1247,489
1,1247,490
1,1248,490
1,1248,491
1,1248,492
1,1249,492
1,1250,492
1,1250,491
1,1251,491
1,1251,492
1,1252,492
1,1252,493
1,1253,493
1,1253,494
1,1252,494
1,1253,495
1,1252,495
1,1252,496
1,1251,496
1,1251,497
1,1252,497
1,1252,498
1,1252,499
1,1252,500
1,1253,500
1,1253,501
1,1254,501
1,1253,502
1,1254,502
1,1255,502
1,1254,503
1,1255,503
1,1255,504
1,1256,504
1,1256,505
1,1257,505
1,1258,505
1,1258,506
1,1258,507
1,1257,507
1,1258,508
1,1259,508
1,1259,509
1,1260,509
1,1261,509
1,1261,510
1,1260,510
1,1260,511
1,1259,511
1,1259,512
1,1258,512
1,1258,513
1,1257,513
1,1256,514
1,1255,515
1,1254,516
1,1253,516
1,1252,516
1,1251,516
1,1251,517
1,1250,515
1,1249,515
1,1249,514
1,1248,514
