ID,X,Y
1,1344,474
1,1345,475
1,1346,475
1,1346,476
1,1347,476
1,1347,477
1,1348,477
1,1348,478
1,1347,478
1,1347,479
1,1346,479
1,1346,480
1,1346,481
1,1347,481
1,1347,482
1,1347,483
1,1348,483
1,1349,483
1,1349,484
1,1350,484
1,1351,484
1,1351,485
1,1350,485
1,1349,485
1,1348,484
1,1347,484
1,1346,484
1,1345,484
1,1344,484
1,1343,484
1,1342,484
1,1341,483
1,1341,484
1,1340,483
1,1339,483
1,1338,483
1,1337,483
1,1337,482
1,1336,482
1,1336,481
1,1335,481
1,1334,481
1,1333,481
1,1332,481
1,1331,481
1,1330,481
1,1330,480
1,1329,480
1,1328,479
1,1327,480
1,1327,479
1,1326,478
1,1326,477
1,1325,477
1,1324,477
1,1324,478
1,1323,478
1,1323,477
1,1322,477
1,1321,477
1,1320,477
1,1319,477
1,1318,477
1,1317,477
1,1316,477
1,1315,477
1,1315,478
1,1314,478
1,1314,477
1,1313,477
1,1312,477
1,1311,477
1,1310,477
1,1310,478
1,1309,478
1,1309,479
1,1309,480
1,1308,480
1,1307,480
1,1307,481
1,1307,482
1,1308,482
1,1308,483
1,1308,484
1,1307,484
1,1308,485
1,1307,485
1,1306,485
1,1306,486
1,1305,486
1,1306,487
1,1306,488
1,1307,488
1,1307,489
1,1306,489
1,1305,489
1,1304,489
1,1303,489
1,1302,489
1,1301,490
1,1300,490
1,1299,490
1,1299,491
1,1299,492
1,1298,492
1,1298,493
1,1297,493
1,1296,493
1,1295,494
1,1294,494
1,1293,494
1,1292,494
1,1291,494
1,1290,494
1,1290,495
1,1289,495
1,1288,495
1,1288,496
1,1287,496
1,1286,496
1,1285,496
1,1284,496
1,1283,495
1,1283,496
1,1282,496
1,1282,495
1,1281,496
1,1280,496
1,1279,496
1,1278,496
1,1278,497
1,1277,497
1,1277,498
1,1276,498
1,1275,498
1,1275,499
1,1276,499
1,1275,500
1,1275,501
1,1276,501
1,1276,502
1,1275,503
1,1274,503
1,1273,503
1,1273,504
1,1274,504
1,1273,505
1,1274,505
1,1274,506
1,1273,506
1,1273,507
1,1273,508
1,1272,508
1,1272,509
1,1271,509
1,1271,510
1,1270,510
1,1270,511
1,1269,511
1,1269,512
1,1269,513
1,1270,513
1,1268,513
1,1268,514
1,1269,514
1,1268,515
1,1269,515
1,1268,516
1,1267,516
1,1267,517
1,1267,518
1,1266,518
1,1266,519
1,1265,519
1,1265,520
1,1265,521
1,1266,521
1,1265,522
1,1264,522
1,1263,522
1,1263,523
1,1264,523
1,1263,524
1,1264,524
1,1263,525
1,1262,525
1,1262,526
1,1261,526
1,1260,526
1,1260,527
1,1261,527
1,1261,528
1,1260,528
1,1259,528
1,1259,529
1,1258,529
1,1257,529
1,1257,530
1,1258,530
1,1256,531
1,1255,531
1,1254,531
1,1254,532
1,1253,532
1,1252,532
1,1251,532
1,1250,532
1,1249,532
1,1249,531
1,1248,532
1,1248,531
1,1247,532
1,1246,532
1,1245,532
1,1244,532
1,1244,533
1,1243,533
1,1243,534
1,1242,534
1,1241,534
1,1240,534
1,1239,535
1,1238,535
1,1237,535
1,1236,536
1,1236,535
1,1235,535
1,1235,536
1,1234,535
1,1233,536
1,1232,536
1,1232,535
1,1231,535
1,1230,535
1,1229,535
1,1228,535
1,1227,535
1,1226,535
1,1225,535
1,1225,534
1,1224,535
1,1223,535
1,1222,535
1,1221,535
1,1221,534
1,1220,534
1,1219,534
1,1218,534
1,1217,534
1,1216,534
1,1215,533
1,1216,533
1,1217,533
1,1217,532
1,1218,532
1,1218,531
1,1218,530
1,1217,530
1,1217,529
1,1216,529
1,1216,528
1,1215,528
1,1215,527
1,1214,527
1,1213,527
1,1213,526
1,1212,526
1,1214,526
1,1214,525
1,1215,525
1,1216,525
1,1216,524
1,1217,525
1,1217,524
1,1217,523
1,1218,523
1,1219,523
1,1220,523
1,1220,524
1,1221,524
1,1221,525
1,1222,525
1,1223,525
1,1223,524
