ID,X,Y
1,121.48844,53.332649
1,121.49954,53.336006
1,121.51841,53.339191
1,121.53907,53.341721
1,121.57375,53.348175
1,121.58404,53.349644
1,121.59367,53.353237
1,121.60381,53.357811
1,121.61327,53.363365
1,121.62292,53.366798
1,121.635,53.371044
1,121.64644,53.373333
1,121.66065,53.377907
1,121.66735,53.382805
1,121.67487,53.385582
1,121.68401,53.389175
1,121.69724,53.389996
1,121.70394,53.390156
1,121.71096,53.388359
1,121.71848,53.386398
1,121.72583,53.385582
1,121.73253,53.385746
1,121.73727,53.386726
1,121.74249,53.387871
1,121.7536,53.3913
1,121.7652,53.394894
1,121.77647,53.397671
1,121.7848,53.399796
1,121.79182,53.402573
1,121.80359,53.407475
1,121.80996,53.410088
1,121.81829,53.413353
1,121.82303,53.414333
1,121.82874,53.414333
1,121.83773,53.415314
1,121.84541,53.416294
1,121.85259,53.420052
1,121.85978,53.422993
1,121.86632,53.424953
1,121.87318,53.425442
1,121.8784,53.424789
1,121.88968,53.422829
1,121.89866,53.421032
1,121.90503,53.420216
1,121.90977,53.420868
1,121.91386,53.421848
1,121.91924,53.422993
1,121.92382,53.423809
1,121.9297,53.424625
1,121.9426,53.426258
1,121.95355,53.428055
1,121.96482,53.428711
1,121.97299,53.429363
1,121.98164,53.429199
1,121.99308,53.428711
1,122.00533,53.428055
1,122.01791,53.426422
1,122.02951,53.424953
1,122.03963,53.422993
1,122.05009,53.420868
1,122.06202,53.419071
1,122.07313,53.418583
1,122.08946,53.42038
1,122.10302,53.423481
1,122.11527,53.429527
1,122.12458,53.438839
1,122.13504,53.448475
1,122.14239,53.456806
1,122.14729,53.462036
1,122.15203,53.46579
1,122.15791,53.468407
1,122.16183,53.469875
1,122.16656,53.470367
1,122.17588,53.470692
1,122.18453,53.469387
1,122.21181,53.462688
1,122.22129,53.460075
1,122.22619,53.459583
1,122.22995,53.460075
1,122.23828,53.460728
1,122.24596,53.462688
1,122.26475,53.470528
1,122.29145,53.479515
1,122.30191,53.487682
1,122.30877,53.493561
1,122.31824,53.49781
1,122.32968,53.500095
1,122.33948,53.500751
1,122.34765,53.499115
1,122.35124,53.495522
1,122.35451,53.491276
1,122.35712,53.486374
1,122.36105,53.483109
1,122.3666,53.476246
1,122.37019,53.47298
1,122.38849,53.461544
1,122.40548,53.451416
1,122.41659,53.44619
1,122.43129,53.442921
1,122.44599,53.442921
1,122.45644,53.44521
1,122.47082,53.453049
1,122.48258,53.454685
1,122.49369,53.454685
1,122.50676,53.452396
1,122.52048,53.451088
1,122.53649,53.451088
1,122.54596,53.453377
1,122.55805,53.45599
1,122.57308,53.457623
1,122.58647,53.461216
1,122.6002,53.462524
1,122.62372,53.461544
1,122.6394,53.460892
1,122.65018,53.460239
1,122.65836,53.459259
1,122.67273,53.457951
1,122.69495,53.458279
1,122.7188,53.458279
1,122.7384,53.460239
1,122.75343,53.460892
1,122.76878,53.459583
1,122.78152,53.458279
1,122.79852,53.45599
1,122.81158,53.455009
1,122.83412,53.455662
1,122.85144,53.455338
1,122.8668,53.457951
1,122.88607,53.460892
1,122.89522,53.463177
1,122.90502,53.464485
1,122.91221,53.467751
1,122.92168,53.473961
1,122.93704,53.481476
1,122.95338,53.48605
1,122.972,53.488007
1,122.98148,53.489967
1,122.99911,53.493561
1,123.01643,53.49683
1,123.02917,53.498463
1,123.03832,53.499115
1,123.04322,53.499443
1,123.0491,53.501732
1,123.05727,53.504669
1,123.06642,53.505325
1,123.07524,53.504997
1,123.10072,53.503036
1,123.11869,53.499443
1,123.13339,53.49585
1,123.14058,53.496502
1,123.16476,53.504017
1,123.17848,53.512184
1,123.19024,53.522312
1,123.20789,53.537342
1,123.22422,53.547142
1,123.24121,53.553352
1,123.2582,53.556618
1,123.27225,53.557926
1,123.28629,53.556618
1,123.30099,53.554657
1,123.31145,53.553677
1,123.32125,53.551392
1,123.32877,53.549431
1,123.33759,53.546818
1,123.34805,53.542568
1,123.36111,53.539955
1,123.38007,53.535381
1,123.39869,53.534077
1,123.41404,53.534401
1,123.42841,53.534077
1,123.43887,53.533096
1,123.44704,53.529827
1,123.45063,53.524601
1,123.45422,53.520679
1,123.45978,53.512184
1,123.46566,53.50761
1,123.47089,53.501732
1,123.47742,53.49781
1,123.48232,53.496178
1,123.4869,53.495522
1,123.49442,53.497158
1,123.49572,53.501076
1,123.49638,53.503689
1,123.49605,53.507286
1,123.49409,53.511204
1,123.49049,53.515778
1,123.48265,53.522968
1,123.47906,53.531136
1,123.47971,53.537994
1,123.48853,53.546162
1,123.49801,53.550735
1,123.50945,53.554333
1,123.51794,53.554657
1,123.52676,53.552044
1,123.53493,53.54845
1,123.5444,53.543549
1,123.54897,53.538651
1,123.54963,53.532768
1,123.54701,53.527866
1,123.53819,53.520027
1,123.5297,53.514473
1,123.52708,53.508919
1,123.52839,53.502384
1,123.53231,53.496178
1,123.53689,53.494541
1,123.5444,53.49585
1,123.55714,53.501732
1,123.564,53.508263
1,123.5676,53.516434
1,123.57119,53.529175
1,123.57446,53.53767
1,123.5774,53.542568
1,123.58197,53.54649
1,123.59047,53.54747
1,123.60484,53.546818
1,123.61269,53.544857
1,123.62314,53.542896
1,123.63261,53.540283
1,123.64176,53.535053
1,123.65483,53.527214
1,123.66757,53.516434
1,123.67247,53.51088
1,123.6777,53.504997
1,123.68456,53.499443
1,123.6875,53.49585
1,123.69044,53.493561
1,123.69501,53.491928
1,123.70187,53.490948
1,123.71135,53.490948
1,123.72376,53.49258
1,123.73063,53.493561
1,123.73912,53.494541
1,123.75382,53.493561
1,123.76395,53.492908
1,123.77375,53.490623
1,123.79532,53.487682
1,123.81067,53.486374
1,123.82505,53.487354
1,123.84367,53.48703
1,123.85838,53.485069
1,123.86556,53.483761
1,123.87275,53.48082
1,123.8868,53.474941
1,123.9028,53.467098
1,123.91849,53.458931
1,123.93025,53.454685
1,123.94201,53.448803
1,123.95247,53.443901
1,123.9603,53.438675
1,123.97076,53.432793
1,123.97828,53.427567
1,123.98351,53.421032
1,123.99102,53.412537
1,124.0018,53.404041
1,124.01225,53.398163
1,124.02402,53.394569
1,124.03186,53.392933
1,124.03905,53.392281
1,124.04688,53.390648
1,124.05538,53.388035
1,124.0629,53.385422
1,124.06878,53.379211
1,124.07237,53.369411
1,124.0776,53.363205
1,124.08348,53.360588
1,124.08871,53.358303
1,124.09328,53.354382
1,124.0985,53.35144
1,124.10439,53.348827
1,124.11517,53.345886
1,124.12366,53.344906
1,124.13445,53.345886
1,124.15241,53.353729
1,124.16451,53.358303
1,124.17496,53.363857
1,124.18378,53.368431
1,124.19228,53.371044
1,124.20469,53.374638
1,124.21416,53.374966
1,124.22266,53.373985
1,124.23376,53.372025
1,124.24357,53.368759
1,124.25565,53.361568
1,124.26643,53.355362
1,124.2829,53.350151
1,124.29272,53.342663
1,124.30583,53.330963
1,124.31858,53.320435
1,124.32549,53.312244
1,124.33186,53.301834
1,124.33607,53.291538
1,124.34402,53.286392
1,124.35245,53.279373
1,124.35619,53.273289
1,124.35666,53.26627
1,124.35806,53.260654
1,124.3604,53.256443
1,124.36555,53.253635
1,124.37631,53.252701
1,124.38661,53.253166
1,124.39737,53.255039
1,124.40392,53.251762
1,124.40673,53.240067
1,124.41328,53.229771
1,124.42171,53.223686
1,124.43246,53.217602
1,124.44276,53.21386
1,124.45165,53.210117
1,124.45773,53.209179
1,124.46803,53.208714
1,124.47739,53.208714
1,124.48675,53.204502
1,124.51202,53.200291
1,124.55132,53.201225
1,124.58643,53.205437
1,124.60093,53.207775
1,124.6145,53.206841
1,124.6393,53.208244
1,124.65568,53.206841
1,124.66831,53.204033
1,124.67954,53.199821
1,124.68703,53.19561
1,124.69592,53.191399
1,124.70259,53.186771
1,124.70721,53.179577
1,124.70824,53.171871
1,124.7085,53.164936
1,124.71107,53.158768
1,124.71543,53.154659
1,124.71877,53.150036
1,124.72982,53.147465
1,124.74728,53.14233
1,124.76758,53.140274
1,124.7812,53.1413
1,124.79584,53.14233
1,124.81485,53.144897
1,124.82435,53.144642
1,124.83077,53.138988
1,124.8354,53.132568
1,124.83823,53.126659
1,124.84208,53.120495
1,124.84439,53.112789
1,124.84644,53.107906
1,124.85056,53.103027
1,124.85595,53.099945
1,124.8652,53.098915
1,124.8747,53.097889
1,124.88241,53.098145
1,124.88831,53.100971
1,124.8932,53.106621
1,124.89551,53.11433
1,124.89628,53.121006
1,124.8896,53.132824
1,124.88446,53.1413
1,124.8783,53.149521
1,124.87701,53.154144
1,124.8783,53.159538
1,124.88369,53.164936
1,124.89371,53.171871
1,124.90527,53.17598
1,124.91606,53.179832
1,124.92993,53.182144
1,124.93969,53.184456
1,124.95074,53.189594
1,124.96024,53.19088
1,124.97231,53.19165
1,124.98824,53.192677
1,125.01188,53.192421
1,125.02754,53.194477
1,125.03782,53.194733
1,125.04758,53.196018
1,125.05965,53.197815
1,125.07044,53.201927
1,125.08098,53.202953
1,125.09434,53.203724
1,125.1208,53.202438
1,125.14211,53.203468
1,125.15727,53.199871
1,125.17885,53.196018
1,125.19529,53.192936
1,125.2125,53.187798
1,125.23048,53.182144
1,125.2459,53.176495
1,125.26388,53.167248
1,125.27415,53.160053
1,125.28366,53.153633
1,125.29393,53.146694
1,125.30293,53.144382
1,125.3227,53.142071
1,125.3394,53.138218
1,125.35456,53.131798
1,125.36509,53.130257
1,125.3764,53.130512
1,125.39206,53.126915
1,125.41261,53.118439
1,125.42751,53.111759
1,125.44138,53.10611
1,125.4532,53.104053
1,125.46912,53.101742
1,125.48069,53.099686
1,125.49071,53.095062
1,125.49379,53.088383
1,125.49379,53.078365
1,125.49302,53.069889
1,125.49225,53.060127
1,125.49173,53.054733
1,125.49302,53.050365
1,125.49712,53.047283
1,125.50381,53.045998
